text,intent
Homestay sạch sẽ. Trang thiết bị hiện đại. Dịch vụ tuyệt vời.,positive
Phòng quá nhỏ. Cực kỳ tệ.,negative
Check-in chậm. Thiếu tiện nghi. Dịch vụ kém.,negative
Không quay lại lần sau. Thái độ nhân viên không tốt. Khó chịu.,negative
Đáng đồng tiền. Phục vụ chu đáo. Tuyệt vời. Homestay sạch sẽ.,positive
Thái độ nhân viên rất tốt. Không gian yên tĩnh.,positive
Thái độ nhân viên không tốt. Khó chịu. Cực kỳ tệ.,negative
Chắc chắn sẽ quay lại. Dịch vụ tuyệt vời. Nhân viên thân thiện. Ăn sáng ngon.,positive
Vị trí thuận tiện. Tuyệt vời. Trang thiết bị hiện đại.,positive
Phục vụ chu đáo. Check-in nhanh chóng. Vị trí thuận tiện.,positive
Không gian yên tĩnh. Nhân viên thân thiện. Phòng ốc đẹp. Ăn sáng ngon.,positive
Không giống hình ảnh. Không đáng tiền.,negative
Không đáng tiền. Dịch vụ kém. Kém chất lượng.,negative
Homestay sạch sẽ. Không gian yên tĩnh.,positive
Tuyệt vời. Rất hài lòng. Phòng ốc đẹp. Không gian yên tĩnh.,positive
Không gian yên tĩnh. Phục vụ chu đáo. Thái độ nhân viên rất tốt.,positive
Rất tốt. Thái độ nhân viên rất tốt.,positive
Phòng có mùi khó chịu. Phòng bẩn. Check-in chậm. Bữa sáng nghèo nàn.,negative
Trang thiết bị hiện đại. Sạch sẽ và tiện nghi. Homestay sạch sẽ. Chắc chắn sẽ quay lại.,positive
Giá quá cao. Phòng quá nhỏ.,negative
Giá quá cao. Rất thất vọng. Check-in chậm.,negative
Phòng ốc đẹp. Ăn sáng ngon. Giá cả hợp lý.,positive
Không đáng tiền. Khó chịu. Cực kỳ tệ.,negative
Phòng quá nhỏ. Không đáng tiền.,negative
Giá cả hợp lý. Check-in nhanh chóng. Thái độ nhân viên rất tốt.,positive
Không gian yên tĩnh. Phòng ốc đẹp. Phục vụ chu đáo. Giá cả hợp lý.,positive
Nhân viên lạnh nhạt. Không quay lại lần sau. Khó chịu.,negative
Phòng quá nhỏ. Dịch vụ kém. Cực kỳ tệ.,negative
Check-in nhanh chóng. Giá cả hợp lý. Ăn sáng ngon.,positive
Dịch vụ tuyệt vời. Vị trí thuận tiện. Chắc chắn sẽ quay lại. Sạch sẽ và tiện nghi.,positive
Sạch sẽ và tiện nghi. Nhân viên thân thiện. Đáng đồng tiền.,positive
Chắc chắn sẽ quay lại. Rất tốt. Giá cả hợp lý.,positive
Đáng đồng tiền. Ăn sáng ngon. Thái độ nhân viên rất tốt.,positive
Check-in nhanh chóng. Sạch sẽ và tiện nghi.,positive
Giá quá cao. Thái độ nhân viên không tốt.,negative
"Homestay quá nhỏ, không đủ chỗ để đồ.",negative
Homestay không có dịch vụ hỗ trợ đặt vé xe ôm.,negative
Kém chất lượng. Khó chịu. Phòng quá nhỏ. Bữa sáng nghèo nàn.,negative
Vị trí xa trung tâm. Nhân viên lạnh nhạt.,negative
Không quay lại lần sau. Cực kỳ tệ.,negative
Không giống hình ảnh. Bữa sáng nghèo nàn. Kém chất lượng.,negative
Chắc chắn sẽ quay lại. Phòng ốc đẹp.,positive
Chắc chắn sẽ quay lại. Nhân viên thân thiện.,positive
Vị trí xa trung tâm. Khó chịu. Phòng bẩn. Bữa sáng nghèo nàn.,negative
Phục vụ chu đáo. Check-in nhanh chóng. Ăn sáng ngon. Trang thiết bị hiện đại.,positive
Không đáng tiền. Không quay lại lần sau.,negative
Bữa sáng nghèo nàn. Giá quá cao. Không đáng tiền.,negative
Thái độ nhân viên không tốt. Dịch vụ kém. Phòng bẩn.,negative
Homestay sạch sẽ. Không gian yên tĩnh.,positive
Check-in chậm. Thái độ nhân viên không tốt.,negative
Không quay lại lần sau. Kém chất lượng. Rất thất vọng.,negative
Không gian yên tĩnh. Rất tốt. Rất hài lòng. Sạch sẽ và tiện nghi.,positive
Thiếu tiện nghi. Không đáng tiền. Rất thất vọng.,negative
Phòng bẩn. Thiếu tiện nghi.,negative
Kém chất lượng. Giá quá cao. Check-in chậm.,negative
Check-in nhanh chóng. Đáng đồng tiền. Ăn sáng ngon. Không gian yên tĩnh.,positive
Kém chất lượng. Bữa sáng nghèo nàn.,negative
Không gian yên tĩnh. Phục vụ chu đáo. Dịch vụ tuyệt vời. Nhân viên thân thiện.,positive
Check-in chậm. Phòng bẩn. Không đáng tiền. Thiếu tiện nghi.,negative
Dịch vụ tuyệt vời. Sạch sẽ và tiện nghi. Phục vụ chu đáo.,positive
Ăn sáng ngon. Chắc chắn sẽ quay lại. Nhân viên thân thiện.,positive
Trang thiết bị hiện đại. Phòng ốc đẹp. Giá cả hợp lý. Rất tốt.,positive
Thái độ nhân viên rất tốt. Homestay sạch sẽ.,positive
Phục vụ chu đáo. Nhân viên thân thiện.,positive
Kém chất lượng. Phòng quá nhỏ. Thiếu tiện nghi.,negative
Thiếu tiện nghi. Kém chất lượng. Không quay lại lần sau. Rất thất vọng.,negative
Rất hài lòng. Đáng đồng tiền.,positive
Khó chịu. Giá quá cao.,negative
Dịch vụ kém. Vị trí xa trung tâm. Phòng quá nhỏ. Không đáng tiền.,negative
Phòng bẩn. Rất thất vọng.,negative
Phục vụ chu đáo. Homestay sạch sẽ. Thái độ nhân viên rất tốt. Giá cả hợp lý.,positive
Vị trí xa trung tâm. Kém chất lượng. Bữa sáng nghèo nàn.,negative
Nhân viên lạnh nhạt. Phòng quá nhỏ. Thái độ nhân viên không tốt. Không giống hình ảnh.,negative
Vị trí thuận tiện. Thái độ nhân viên rất tốt. Nhân viên thân thiện. Sạch sẽ và tiện nghi.,positive
Nhân viên thân thiện. Rất hài lòng. Đáng đồng tiền. Vị trí thuận tiện.,positive
Chắc chắn sẽ quay lại. Thái độ nhân viên rất tốt.,positive
Không gian yên tĩnh. Giá cả hợp lý.,positive
Phục vụ chu đáo. Sạch sẽ và tiện nghi.,positive
Sạch sẽ và tiện nghi. Phòng ốc đẹp. Thái độ nhân viên rất tốt.,positive
Dịch vụ kém. Bữa sáng nghèo nàn. Vị trí xa trung tâm. Không quay lại lần sau.,negative
Thái độ nhân viên không tốt. Phòng quá nhỏ. Giá quá cao. Phòng có mùi khó chịu.,negative
Khó chịu. Không đáng tiền. Rất thất vọng.,negative
Không giống hình ảnh. Phòng bẩn. Vị trí xa trung tâm.,negative
Thiếu tiện nghi. Không đáng tiền. Kém chất lượng. Dịch vụ kém.,negative
Không quay lại lần sau. Rất thất vọng.,negative
Bữa sáng nghèo nàn. Rất thất vọng. Giá quá cao.,negative
Nhân viên thân thiện. Chắc chắn sẽ quay lại. Đáng đồng tiền.,positive
Rất thất vọng. Không quay lại lần sau.,negative
Trang thiết bị hiện đại. Ăn sáng ngon. Rất hài lòng.,positive
Cực kỳ tệ. Không quay lại lần sau. Khó chịu.,negative
Không đáng tiền. Phòng quá nhỏ.,negative
Dịch vụ tuyệt vời. Trang thiết bị hiện đại. Nhân viên thân thiện. Không gian yên tĩnh.,positive
Homestay sạch sẽ. Rất hài lòng. Trang thiết bị hiện đại.,positive
Đáng đồng tiền. Không gian yên tĩnh.,positive
Dịch vụ tuyệt vời. Rất tốt.,positive
Kém chất lượng. Vị trí xa trung tâm. Phòng quá nhỏ. Không đáng tiền.,negative
Phục vụ chu đáo. Sạch sẽ và tiện nghi.,positive
Phục vụ chu đáo. Check-in nhanh chóng.,positive
Tuyệt vời. Thái độ nhân viên rất tốt. Phục vụ chu đáo. Trang thiết bị hiện đại.,positive
Cực kỳ tệ. Dịch vụ kém.,negative
Giá quá cao. Cực kỳ tệ. Dịch vụ kém.,negative
Phục vụ chu đáo. Sạch sẽ và tiện nghi.,positive
Bữa sáng nghèo nàn. Vị trí xa trung tâm. Phòng bẩn. Thái độ nhân viên không tốt.,negative
Kém chất lượng. Phòng bẩn. Cực kỳ tệ. Vị trí xa trung tâm.,negative
Check-in chậm. Dịch vụ kém.,negative
Không đáng tiền. Cực kỳ tệ. Phòng quá nhỏ. Kém chất lượng.,negative
Dịch vụ kém. Phòng quá nhỏ. Không giống hình ảnh. Thiếu tiện nghi.,negative
Chắc chắn sẽ quay lại. Đáng đồng tiền. Dịch vụ tuyệt vời.,positive
Bữa sáng nghèo nàn. Nhân viên lạnh nhạt. Dịch vụ kém. Vị trí xa trung tâm.,negative
Thái độ nhân viên không tốt. Kém chất lượng.,negative
Kém chất lượng. Không quay lại lần sau.,negative
Nhân viên lạnh nhạt. Phòng quá nhỏ. Dịch vụ kém. Không quay lại lần sau.,negative
Không quay lại lần sau. Giá quá cao. Thái độ nhân viên không tốt. Dịch vụ kém.,negative
Vị trí xa trung tâm. Kém chất lượng. Khó chịu.,negative
Không quay lại lần sau. Phòng bẩn. Thái độ nhân viên không tốt. Vị trí xa trung tâm.,negative
Không đáng tiền. Phòng bẩn.,negative
Rất thất vọng. Không quay lại lần sau.,negative
Nhân viên lạnh nhạt. Dịch vụ kém. Giá quá cao.,negative
Vị trí xa trung tâm. Rất thất vọng. Phòng bẩn.,negative
Phục vụ chu đáo. Rất tốt.,positive
Chắc chắn sẽ quay lại. Rất hài lòng. Nhân viên thân thiện.,positive
Không đáng tiền. Phòng có mùi khó chịu. Check-in chậm.,negative
Cực kỳ tệ. Check-in chậm. Bữa sáng nghèo nàn.,negative
Dịch vụ tuyệt vời. Giá cả hợp lý. Tuyệt vời.,positive
Nhân viên lạnh nhạt. Giá quá cao. Bữa sáng nghèo nàn. Phòng quá nhỏ.,negative
Homestay không có dịch vụ hỗ trợ đặt vé xe buýt.,negative
Phòng quá nhỏ. Rất thất vọng.,negative
Không quay lại lần sau. Rất thất vọng.,negative
Chắc chắn sẽ quay lại. Phục vụ chu đáo. Thái độ nhân viên rất tốt. Phòng ốc đẹp.,positive
Giá cả hợp lý. Vị trí thuận tiện. Chắc chắn sẽ quay lại.,positive
Dịch vụ kém. Vị trí xa trung tâm.,negative
Vị trí xa trung tâm. Giá quá cao. Thái độ nhân viên không tốt. Nhân viên lạnh nhạt.,negative
Kém chất lượng. Không giống hình ảnh. Thái độ nhân viên không tốt. Cực kỳ tệ.,negative
Đáng đồng tiền. Rất tốt.,positive
Giá cả hợp lý. Ăn sáng ngon.,positive
Giá quá cao. Phòng bẩn. Kém chất lượng.,negative
Kém chất lượng. Không giống hình ảnh.,negative
"Nhân viên thờ ơ, Homestay bẩn, giá đắt.",negative
Phòng có mùi khó chịu. Dịch vụ kém. Rất thất vọng. Không quay lại lần sau.,negative
Phòng có mùi khó chịu. Check-in chậm. Nhân viên lạnh nhạt.,negative
Vị trí xa trung tâm. Rất thất vọng. Không giống hình ảnh.,negative
Thiếu tiện nghi. Không giống hình ảnh. Phòng quá nhỏ.,negative
Không gian yên tĩnh. Phòng ốc đẹp. Nhân viên thân thiện.,positive
Nhân viên thân thiện. Tuyệt vời. Vị trí thuận tiện.,positive
Rất tốt. Dịch vụ tuyệt vời.,positive
Dịch vụ tuyệt vời. Phòng ốc đẹp.,positive
Homestay sạch sẽ. Check-in nhanh chóng.,positive
Vị trí xa trung tâm. Phòng quá nhỏ. Cực kỳ tệ. Không giống hình ảnh.,negative
Ăn sáng ngon. Vị trí thuận tiện.,positive
Giá quá cao. Kém chất lượng.,negative
Nhân viên thân thiện. Rất hài lòng.,positive
Nhân viên thân thiện. Thái độ nhân viên rất tốt.,positive
Bữa sáng nghèo nàn. Không đáng tiền. Check-in chậm.,negative
Chắc chắn sẽ quay lại. Tuyệt vời.,positive
Phòng quá nhỏ. Phòng có mùi khó chịu. Dịch vụ kém. Giá quá cao.,negative
Cực kỳ tệ. Bữa sáng nghèo nàn.,negative
Homestay sạch sẽ. Giá cả hợp lý. Sạch sẽ và tiện nghi. Vị trí thuận tiện.,positive
Cực kỳ tệ. Thiếu tiện nghi. Kém chất lượng. Phòng quá nhỏ.,negative
Giá cả hợp lý. Homestay sạch sẽ.,positive
Phòng quá nhỏ. Bữa sáng nghèo nàn.,negative
Cực kỳ tệ. Phòng quá nhỏ. Phòng có mùi khó chịu. Kém chất lượng.,negative
Không quay lại lần sau. Nhân viên lạnh nhạt. Rất thất vọng.,negative
Phòng quá nhỏ. Phòng có mùi khó chịu.,negative
Bữa sáng nghèo nàn. Thiếu tiện nghi. Check-in chậm.,negative
Check-in nhanh chóng. Homestay sạch sẽ. Dịch vụ tuyệt vời. Chắc chắn sẽ quay lại.,positive
Vị trí thuận tiện. Đáng đồng tiền. Ăn sáng ngon. Rất hài lòng.,positive
Tuyệt vời. Không gian yên tĩnh. Ăn sáng ngon.,positive
Phục vụ chu đáo. Giá cả hợp lý. Đáng đồng tiền. Check-in nhanh chóng.,positive
Không gian yên tĩnh. Vị trí thuận tiện. Ăn sáng ngon.,positive
Homestay không có bàn làm việc rộng.,negative
Giá quá cao. Phòng có mùi khó chịu. Thiếu tiện nghi. Thái độ nhân viên không tốt.,negative
Không gian yên tĩnh. Check-in nhanh chóng. Sạch sẽ và tiện nghi.,positive
Tuyệt vời. Vị trí thuận tiện. Giá cả hợp lý. Thái độ nhân viên rất tốt.,positive
Phòng có mùi khó chịu. Cực kỳ tệ.,negative
Tuyệt vời. Không gian yên tĩnh. Trang thiết bị hiện đại. Vị trí thuận tiện.,positive
Phòng ốc đẹp. Đáng đồng tiền.,positive
Homestay không có dịch vụ spa.,negative
Giá quá cao. Không giống hình ảnh.,negative
Đáng đồng tiền. Dịch vụ tuyệt vời. Homestay sạch sẽ. Thái độ nhân viên rất tốt.,positive
Giá cả hợp lý. Rất hài lòng. Homestay sạch sẽ. Chắc chắn sẽ quay lại.,positive
Thiếu tiện nghi. Phòng bẩn. Khó chịu.,negative
Check-in nhanh chóng. Sạch sẽ và tiện nghi. Thái độ nhân viên rất tốt. Homestay sạch sẽ.,positive
Phục vụ chu đáo. Không gian yên tĩnh. Homestay sạch sẽ. Tuyệt vời.,positive
Check-in nhanh chóng. Vị trí thuận tiện. Ăn sáng ngon.,positive
Nhân viên lạnh nhạt. Giá quá cao.,negative
Khó chịu. Vị trí xa trung tâm. Không quay lại lần sau. Phòng có mùi khó chịu.,negative
Thái độ nhân viên không tốt. Không đáng tiền. Giá quá cao.,negative
Nhân viên lạnh nhạt. Không quay lại lần sau. Không đáng tiền.,negative
Không đáng tiền. Giá quá cao. Vị trí xa trung tâm. Thiếu tiện nghi.,negative
Thiếu tiện nghi. Không giống hình ảnh.,negative
Nhân viên thân thiện. Trang thiết bị hiện đại. Rất hài lòng. Sạch sẽ và tiện nghi.,positive
Phòng có mùi khó chịu. Rất thất vọng. Không quay lại lần sau.,negative
Phòng bẩn. Thái độ nhân viên không tốt.,negative
Nhân viên lạnh nhạt. Thái độ nhân viên không tốt. Không quay lại lần sau. Thiếu tiện nghi.,negative
Không giống hình ảnh. Check-in chậm.,negative
Nhân viên thân thiện. Homestay sạch sẽ.,positive
Thiếu tiện nghi. Không giống hình ảnh. Nhân viên lạnh nhạt.,negative
Dịch vụ tuyệt vời. Sạch sẽ và tiện nghi. Giá cả hợp lý.,positive
Thái độ nhân viên không tốt. Rất thất vọng. Vị trí xa trung tâm. Không quay lại lần sau.,negative
Khó chịu. Vị trí xa trung tâm. Thái độ nhân viên không tốt.,negative
Thái độ nhân viên rất tốt. Sạch sẽ và tiện nghi.,positive
Không gian yên tĩnh. Dịch vụ tuyệt vời. Phòng ốc đẹp.,positive
Tuyệt vời. Dịch vụ tuyệt vời. Thái độ nhân viên rất tốt. Rất tốt.,positive
"Dịch vụ tệ, nhân viên thờ ơ, Homestay bẩn.",negative
Nhân viên lạnh nhạt. Vị trí xa trung tâm. Dịch vụ kém. Giá quá cao.,negative
Đáng đồng tiền. Check-in nhanh chóng.,positive
Không gian yên tĩnh. Check-in nhanh chóng.,positive
Không giống hình ảnh. Phòng quá nhỏ. Thiếu tiện nghi.,negative
Nhân viên thân thiện. Không gian yên tĩnh. Thái độ nhân viên rất tốt.,positive
Cực kỳ tệ. Nhân viên lạnh nhạt. Bữa sáng nghèo nàn. Rất thất vọng.,negative
Phòng quá nhỏ. Vị trí xa trung tâm. Không quay lại lần sau. Phòng có mùi khó chịu.,negative
Tuyệt vời. Phòng ốc đẹp.,positive
Rất thất vọng. Giá quá cao. Dịch vụ kém.,negative
Check-in chậm. Cực kỳ tệ. Phòng bẩn. Thái độ nhân viên không tốt.,negative
Thiếu tiện nghi. Nhân viên lạnh nhạt. Rất thất vọng. Check-in chậm.,negative
Nhân viên lạnh nhạt. Cực kỳ tệ. Thiếu tiện nghi.,negative
Chắc chắn sẽ quay lại. Giá cả hợp lý. Thái độ nhân viên rất tốt. Homestay sạch sẽ.,positive
Giá cả hợp lý. Trang thiết bị hiện đại. Homestay sạch sẽ. Vị trí thuận tiện.,positive
Bữa sáng nghèo nàn. Phòng bẩn. Vị trí xa trung tâm.,negative
Thái độ nhân viên rất tốt. Rất tốt. Đáng đồng tiền. Không gian yên tĩnh.,positive
Rất tốt. Phục vụ chu đáo. Dịch vụ tuyệt vời. Nhân viên thân thiện.,positive
Giá quá cao. Vị trí xa trung tâm. Kém chất lượng.,negative
Thiếu tiện nghi. Giá quá cao. Cực kỳ tệ.,negative
Rất thất vọng. Kém chất lượng. Check-in chậm. Dịch vụ kém.,negative
Khó chịu. Thái độ nhân viên không tốt. Không giống hình ảnh.,negative
Thiếu tiện nghi. Check-in chậm.,negative
Tuyệt vời. Homestay sạch sẽ. Check-in nhanh chóng.,positive
Check-in chậm. Dịch vụ kém. Phòng có mùi khó chịu. Không giống hình ảnh.,negative
Trang thiết bị hiện đại. Thái độ nhân viên rất tốt.,positive
Không quay lại lần sau. Kém chất lượng. Dịch vụ kém.,negative
Không đáng tiền. Nhân viên lạnh nhạt. Dịch vụ kém. Giá quá cao.,negative
Không đáng tiền. Không quay lại lần sau. Dịch vụ kém.,negative
Giá cả hợp lý. Thái độ nhân viên rất tốt. Đáng đồng tiền. Dịch vụ tuyệt vời.,positive
Check-in nhanh chóng. Tuyệt vời.,positive
Phòng bẩn. Khó chịu.,negative
Check-in nhanh chóng. Ăn sáng ngon. Thái độ nhân viên rất tốt. Đáng đồng tiền.,positive
Không đáng tiền. Nhân viên lạnh nhạt. Dịch vụ kém.,negative
Homestay sạch sẽ. Không gian yên tĩnh.,positive
Rất thất vọng. Phòng có mùi khó chịu. Phòng bẩn. Không giống hình ảnh.,negative
Phòng quá nhỏ. Cực kỳ tệ.,negative
Nhân viên lạnh nhạt. Thiếu tiện nghi. Vị trí xa trung tâm.,negative
Thái độ nhân viên không tốt. Phòng có mùi khó chịu. Bữa sáng nghèo nàn.,negative
Giá cả hợp lý. Không gian yên tĩnh. Vị trí thuận tiện.,positive
Check-in nhanh chóng. Sạch sẽ và tiện nghi.,positive
Phòng bẩn. Nhân viên lạnh nhạt. Không quay lại lần sau.,negative
Thái độ nhân viên không tốt. Kém chất lượng. Phòng quá nhỏ. Khó chịu.,negative
Phòng bẩn. Không giống hình ảnh. Không đáng tiền.,negative
Đáng đồng tiền. Phục vụ chu đáo. Chắc chắn sẽ quay lại. Homestay sạch sẽ.,positive
Homestay sạch sẽ. Rất tốt. Rất hài lòng. Ăn sáng ngon.,positive
Rất thất vọng. Không đáng tiền. Vị trí xa trung tâm. Giá quá cao.,negative
Đáng đồng tiền. Ăn sáng ngon.,positive
Rất tốt. Trang thiết bị hiện đại. Tuyệt vời. Đáng đồng tiền.,positive
Ăn sáng ngon. Sạch sẽ và tiện nghi. Rất hài lòng.,positive
Ăn sáng ngon. Đáng đồng tiền.,positive
Không quay lại lần sau. Phòng bẩn. Rất thất vọng.,negative
Thái độ nhân viên không tốt. Vị trí xa trung tâm. Không giống hình ảnh. Nhân viên lạnh nhạt.,negative
Không đáng tiền. Phòng quá nhỏ. Thiếu tiện nghi. Check-in chậm.,negative
Thái độ nhân viên không tốt. Check-in chậm. Kém chất lượng. Không giống hình ảnh.,negative
Giá cả hợp lý. Vị trí thuận tiện. Rất hài lòng.,positive
Không quay lại lần sau. Không đáng tiền. Giá quá cao. Thái độ nhân viên không tốt.,negative
Ăn sáng ngon. Không gian yên tĩnh. Rất tốt. Phục vụ chu đáo.,positive
Không quay lại lần sau. Kém chất lượng.,negative
Check-in chậm. Dịch vụ kém. Nhân viên lạnh nhạt. Kém chất lượng.,negative
Check-in nhanh chóng. Rất tốt.,positive
Rất tốt. Giá cả hợp lý. Tuyệt vời. Ăn sáng ngon.,positive
Kém chất lượng. Bữa sáng nghèo nàn. Không giống hình ảnh. Dịch vụ kém.,negative
Rất thất vọng. Phòng bẩn. Giá quá cao. Thái độ nhân viên không tốt.,negative
Phòng có mùi khó chịu. Phòng bẩn. Cực kỳ tệ.,negative
Giá cả hợp lý. Vị trí thuận tiện. Trang thiết bị hiện đại.,positive
Chắc chắn sẽ quay lại. Không gian yên tĩnh. Vị trí thuận tiện. Ăn sáng ngon.,positive
Dịch vụ kém. Check-in chậm. Phòng có mùi khó chịu. Không đáng tiền.,negative
Phòng có mùi khó chịu. Phòng bẩn. Nhân viên lạnh nhạt. Thái độ nhân viên không tốt.,negative
Không giống hình ảnh. Phòng quá nhỏ. Không đáng tiền. Phòng bẩn.,negative
Rất thất vọng. Bữa sáng nghèo nàn. Nhân viên lạnh nhạt. Dịch vụ kém.,negative
Phòng bẩn. Không giống hình ảnh. Cực kỳ tệ. Không đáng tiền.,negative
Không gian yên tĩnh. Phòng ốc đẹp. Homestay sạch sẽ. Vị trí thuận tiện.,positive
Homestay sạch sẽ. Rất tốt.,positive
Nhân viên lạnh nhạt. Cực kỳ tệ. Không quay lại lần sau.,negative
Phòng quá nhỏ. Bữa sáng nghèo nàn. Cực kỳ tệ.,negative
Thái độ nhân viên không tốt. Nhân viên lạnh nhạt. Cực kỳ tệ.,negative
Dịch vụ tuyệt vời. Thái độ nhân viên rất tốt. Check-in nhanh chóng. Rất hài lòng.,positive
Check-in nhanh chóng. Tuyệt vời. Trang thiết bị hiện đại. Nhân viên thân thiện.,positive
Phòng có mùi khó chịu. Vị trí xa trung tâm. Không đáng tiền. Thiếu tiện nghi.,negative
Chắc chắn sẽ quay lại. Vị trí thuận tiện.,positive
Nhân viên hỗ trợ đặt tour du lịch rất nhiệt tình.,positive
Rất hài lòng. Tuyệt vời.,positive
Check-in chậm. Phòng bẩn. Phòng quá nhỏ.,negative
Dịch vụ tuyệt vời. Giá cả hợp lý. Đáng đồng tiền. Ăn sáng ngon.,positive
Phục vụ chu đáo. Nhân viên thân thiện. Chắc chắn sẽ quay lại.,positive
Giá cả hợp lý. Phục vụ chu đáo. Tuyệt vời.,positive
Phục vụ chu đáo. Trang thiết bị hiện đại.,positive
Không quay lại lần sau. Không đáng tiền.,negative
Check-in chậm. Không giống hình ảnh. Cực kỳ tệ. Thiếu tiện nghi.,negative
Khó chịu. Không đáng tiền. Nhân viên lạnh nhạt.,negative
Thiếu tiện nghi. Cực kỳ tệ. Phòng bẩn.,negative
Giá cả hợp lý. Phục vụ chu đáo.,positive
Check-in chậm. Phòng có mùi khó chịu.,negative
Phòng ốc đẹp. Nhân viên thân thiện. Rất hài lòng.,positive
Thái độ nhân viên rất tốt. Rất tốt. Không gian yên tĩnh. Giá cả hợp lý.,positive
Phòng ốc đẹp. Thái độ nhân viên rất tốt. Rất tốt. Trang thiết bị hiện đại.,positive
Vị trí thuận tiện. Sạch sẽ và tiện nghi.,positive
Chắc chắn sẽ quay lại. Không gian yên tĩnh. Rất hài lòng. Phòng ốc đẹp.,positive
Dịch vụ tuyệt vời. Giá cả hợp lý. Vị trí thuận tiện.,positive
Thái độ nhân viên rất tốt. Trang thiết bị hiện đại. Phục vụ chu đáo.,positive
Thái độ nhân viên không tốt. Phòng quá nhỏ. Vị trí xa trung tâm. Không giống hình ảnh.,negative
Trang thiết bị hiện đại. Rất tốt.,positive
Không quay lại lần sau. Phòng bẩn. Giá quá cao. Thái độ nhân viên không tốt.,negative
Bữa sáng nghèo nàn. Check-in chậm. Giá quá cao.,negative
Thái độ nhân viên không tốt. Rất thất vọng.,negative
Check-in nhanh chóng. Trang thiết bị hiện đại.,positive
Phòng bẩn. Phòng quá nhỏ.,negative
Rất thất vọng. Không giống hình ảnh.,negative
Không gian yên tĩnh. Đáng đồng tiền. Tuyệt vời. Rất hài lòng.,positive
Chắc chắn sẽ quay lại. Không gian yên tĩnh.,positive
Chắc chắn sẽ quay lại. Thái độ nhân viên rất tốt. Tuyệt vời. Nhân viên thân thiện.,positive
Tuyệt vời. Không gian yên tĩnh. Rất hài lòng. Vị trí thuận tiện.,positive
Phòng ốc đẹp. Check-in nhanh chóng.,positive
Tuyệt vời. Ăn sáng ngon. Rất hài lòng. Nhân viên thân thiện.,positive
Phục vụ chu đáo. Nhân viên thân thiện. Rất tốt. Giá cả hợp lý.,positive
Rất tốt. Sạch sẽ và tiện nghi. Ăn sáng ngon. Nhân viên thân thiện.,positive
Thái độ nhân viên rất tốt. Không gian yên tĩnh. Giá cả hợp lý. Chắc chắn sẽ quay lại.,positive
Rất tốt. Chắc chắn sẽ quay lại.,positive
Rất hài lòng. Rất tốt. Tuyệt vời. Phòng ốc đẹp.,positive
Sạch sẽ và tiện nghi. Tuyệt vời.,positive
Rất thất vọng. Thiếu tiện nghi. Dịch vụ kém.,negative
Không giống hình ảnh. Giá quá cao. Vị trí xa trung tâm.,negative
Rất hài lòng. Trang thiết bị hiện đại. Sạch sẽ và tiện nghi. Giá cả hợp lý.,positive
Thái độ nhân viên không tốt. Bữa sáng nghèo nàn. Check-in chậm.,negative
Check-in chậm. Khó chịu. Vị trí xa trung tâm. Không đáng tiền.,negative
Phòng bẩn. Giá quá cao. Phòng quá nhỏ. Không đáng tiền.,negative
Homestay sạch sẽ. Rất tốt. Rất hài lòng. Check-in nhanh chóng.,positive
Giá quá cao. Thái độ nhân viên không tốt.,negative
Check-in nhanh chóng. Homestay sạch sẽ. Tuyệt vời.,positive
Phục vụ chu đáo. Dịch vụ tuyệt vời. Tuyệt vời. Sạch sẽ và tiện nghi.,positive
Homestay sạch sẽ. Vị trí thuận tiện. Tuyệt vời.,positive
Chắc chắn sẽ quay lại. Tuyệt vời. Không gian yên tĩnh. Ăn sáng ngon.,positive
Nhân viên thân thiện. Phục vụ chu đáo.,positive
Bữa sáng nghèo nàn. Rất thất vọng. Không quay lại lần sau.,negative
Không gian yên tĩnh. Đáng đồng tiền.,positive
Thiếu tiện nghi. Không giống hình ảnh.,negative
Ăn sáng ngon. Không gian yên tĩnh.,positive
Dịch vụ tuyệt vời. Sạch sẽ và tiện nghi. Chắc chắn sẽ quay lại. Không gian yên tĩnh.,positive
Không gian yên tĩnh. Nhân viên thân thiện.,positive
Không giống hình ảnh. Thiếu tiện nghi. Rất thất vọng.,negative
Dịch vụ kém. Giá quá cao. Rất thất vọng. Thái độ nhân viên không tốt.,negative
Khó chịu. Thiếu tiện nghi. Phòng quá nhỏ. Cực kỳ tệ.,negative
Vị trí thuận tiện. Nhân viên thân thiện. Đáng đồng tiền. Chắc chắn sẽ quay lại.,positive
Dịch vụ kém. Vị trí xa trung tâm. Thái độ nhân viên không tốt. Giá quá cao.,negative
Trang thiết bị hiện đại. Tuyệt vời. Thái độ nhân viên rất tốt. Ăn sáng ngon.,positive
Phòng có mùi khó chịu. Check-in chậm.,negative
Phục vụ chu đáo. Đáng đồng tiền. Thái độ nhân viên rất tốt. Ăn sáng ngon.,positive
Sạch sẽ và tiện nghi. Phòng ốc đẹp.,positive
Không gian yên tĩnh. Thái độ nhân viên rất tốt. Ăn sáng ngon. Sạch sẽ và tiện nghi.,positive
Không đáng tiền. Vị trí xa trung tâm. Bữa sáng nghèo nàn.,negative
Check-in chậm. Thiếu tiện nghi. Thái độ nhân viên không tốt.,negative
Dịch vụ kém. Không quay lại lần sau. Thái độ nhân viên không tốt. Phòng có mùi khó chịu.,negative
